,total_voters,null_votes,valid_votes,url,region,voters,unmarked_votes,no_votes_p,yes_votes_p,yes_votes,no_votes,vulner_idx,yes_no_ratio,elec_part,h_affect
ABEJORRAL,15274,52,3401,http://plebiscito.registraduria.gov.co/99PL/DPL01004ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,3647,194,0.6189,0.381,1296,2105,0,0.615608337373,0.238771769019,0
ABREGO,21133,77,6244,http://plebiscito.registraduria.gov.co/99PL/DPL25004ZZZZZZZZZZZZ_L1.htm,NORTE DE SAN,6377,56,0.6644,0.3355,2095,4149,2,0.504966887417,0.301755548195,0
ABRIAQUI,1938,13,545,http://plebiscito.registraduria.gov.co/99PL/DPL01007ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,572,14,0.6091,0.3908,213,332,0,0.641602364144,0.295149638803,0
ACACIAS,56070,663,29491,http://plebiscito.registraduria.gov.co/99PL/DPL52005ZZZZZZZZZZZZ_L1.htm,META,30284,130,0.7294,0.2705,7978,21513,0,0.37085275569,0.540110576066,0
ACANDI,8345,19,2053,http://plebiscito.registraduria.gov.co/99PL/DPL17004ZZZZZZZZZZZZ_L1.htm,CHOCO,2105,33,0.2362,0.7637,1568,485,0,3.233276884,0.252246854404,0
ACEVEDO,18437,79,6090,http://plebiscito.registraduria.gov.co/99PL/DPL19004ZZZZZZZZZZZZ_L1.htm,HUILA,6214,45,0.7648,0.2351,1432,4658,0,0.307400627615,0.337039648533,0
ACHI,15748,87,6181,http://plebiscito.registraduria.gov.co/99PL/DPL05004ZZZZZZZZZZZZ_L1.htm,BOLIVAR,6329,61,0.3031,0.6968,4307,1874,0,2.29891125041,0.401892303785,1
AGRADO,6804,29,2724,http://plebiscito.registraduria.gov.co/99PL/DPL19007ZZZZZZZZZZZZ_L1.htm,HUILA,2779,26,0.6787,0.3212,875,1849,0,0.473257698541,0.408436213992,0
AGUA DE DIOS,9742,38,3840,http://plebiscito.registraduria.gov.co/99PL/DPL15004ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,3903,25,0.5513,0.4486,1723,2117,0,0.813713041901,0.400636419626,0
AGUACHICA,65630,430,26568,http://plebiscito.registraduria.gov.co/99PL/DPL12075ZZZZZZZZZZZZ_L1.htm,CESAR,27136,138,0.6921,0.3078,8179,18389,0,0.444733420026,0.413469449947,0
AGUADA,1524,6,347,http://plebiscito.registraduria.gov.co/99PL/DPL27004ZZZZZZZZZZZZ_L1.htm,SANTANDER,361,8,0.5244,0.4755,165,182,0,0.906750572082,0.23687664042,0
AGUADAS,18854,174,6727,http://plebiscito.registraduria.gov.co/99PL/DPL09004ZZZZZZZZZZZZ_L1.htm,CALDAS,7035,134,0.7084,0.2915,1961,4766,0,0.41149068323,0.373130370213,0
AGUAZUL,26606,599,13789,http://plebiscito.registraduria.gov.co/99PL/DPL46040ZZZZZZZZZZZZ_L1.htm,CASANARE,14484,96,0.7009,0.299,4123,9666,0,0.426594378656,0.544388483801,0
