,total_voters,null_votes,valid_votes,yes_votes,voters,unmarked_votes,no_votes_p,yes_votes_p,no_votes,v_events,poverty,income,yes_no_ratio,elec_part,conflict,CC_votes14_1,unmarked_votes14_1,AV_votes_p14_1,blank_votes14_1,CD_votes14_1,UN_votes_p14_1,CD_votes_p14_1,total_voters14_1,PD_votes_p14_1,CC_votes_p14_1,voters14_1,valid_votes14_1,blank_votes_p14_1,PD_votes14_1,UN_votes14_1,AV_votes14_1,null_votes14_1,blank_votes_p14_2,valid_votes14_2,unmarked_votes14_2,UN_votes_p14_2,total_voters14_2,CD_votes14_2,CD_votes_p14_2,blank_votes14_2,UN_votes14_2,voters14_2,null_votes14_2,elec_part14_2,diff_elec,h_affect
AMAZONAS,44795,114,11518,6524,11714,82,0.4335,0.5664,4994,0,0.278,590826.0,1.30657439446,0.261502399821,0.0,1443,74,0.0597,450,4460,0.35,0.3224,41313,0.1309,0.1043,14160,13831,0.0325,1811,4841,826,255,0.0268,15893,84,0.4383,41313,8500,0.5348,426,6967,16255,278,0.393459685813,-0.131957285992,0
ANTIOQUIA,4539316,22416,1705569,648051,1742139,14154,0.62,0.3799,1057518,591,0.237,674887.0,0.612741935484,0.383788879206,0.0701092619488,334312,7704,0.0555,133404,665160,0.1623,0.3765,4269005,0.1407,0.1892,1821368,1766390,0.0755,248628,286742,98144,47274,0.0634,1968511,7936,0.3579,4269005,1139007,0.5786,124919,704585,2048043,71596,0.479747154196,-0.0959582749908,0
ARAUCA,176625,1523,58927,28653,61088,638,0.5137,0.4862,30274,328,0.278,590826.0,0.946466809422,0.345862703468,1.0,4907,281,0.0428,2742,25425,0.259,0.4467,162215,0.1168,0.0862,58803,56907,0.0481,6651,14741,2441,1615,0.0301,76029,384,0.4906,162215,36434,0.4792,2290,37305,77850,1437,0.479918626514,-0.134055923046,0
ATLANTICO,1788211,2132,426421,258121,430989,2436,0.3946,0.6053,168300,64,0.257,542223.0,1.53395843893,0.241016859867,0.0192725660642,33181,729,0.0598,18861,77446,0.4813,0.1906,1694687,0.14,0.0816,411187,406205,0.0464,56869,195529,24319,4253,0.0168,694058,1297,0.7822,1694687,139389,0.2008,11727,542942,701949,6594,0.41420569108,-0.173188831213,1
BOGOTA DC,5547172,25213,2538545,1423612,2570359,6601,0.4392,0.5607,1114933,73,0.104,989329.0,1.27663934426,0.463363854591,0.00708646357406,366394,2203,0.1599,207525,542459,0.1809,0.221,5204003,0.204,0.1493,2510384,2453518,0.0845,500603,444077,392460,54663,0.0528,2553832,2173,0.5254,5204003,1076816,0.4216,135053,1341963,2631907,75902,0.505746633889,-0.0423827792982,0
BOLIVAR,1502228,2623,345326,208019,350488,2539,0.3976,0.6023,137307,117,0.393,436524.0,1.51483903421,0.233312120397,0.0419399917177,25411,1014,0.0528,15313,122506,0.3845,0.3268,1426211,0.1271,0.0677,380216,374812,0.0408,47664,144116,19802,4390,0.022,534492,1218,0.58,1426211,212655,0.3978,11789,310048,541508,5798,0.379682950139,-0.146370829741,1
BOYACA,928625,7546,377010,188840,387666,3110,0.4991,0.5008,188170,31,0.354,460865.0,1.00340613104,0.417462377171,0.0179762729449,83319,1523,0.0791,17240,121291,0.1599,0.3009,890579,0.2104,0.2067,415831,403052,0.0427,84835,64463,31904,11256,0.0392,470493,1639,0.3982,890579,264670,0.5625,18454,187369,488838,16706,0.548899086998,-0.131436709828,0
CALDAS,778593,6449,315906,135540,325680,3325,0.5709,0.429,180366,31,0.279,528098.0,0.751445086705,0.418292997754,0.0214402344529,54295,1914,0.0711,20310,141059,0.1803,0.4052,757628,0.1288,0.1559,362562,348065,0.0583,44861,62785,24755,12583,0.0508,390247,1855,0.3362,757628,239148,0.6128,19860,131239,407177,15075,0.537436578374,-0.11914358062,0
CAQUETA,281054,1214,83479,39197,85490,797,0.5304,0.4695,44282,339,0.413,361228.0,0.885180995475,0.304176421613,0.649513614431,8143,501,0.0558,4641,47063,0.1671,0.5169,263579,0.1196,0.0894,93318,91039,0.0509,10896,15216,5080,1778,0.0404,106705,511,0.3244,263579,67769,0.6351,4317,34619,109220,2004,0.414372920453,-0.11019649884,0
CASANARE,263184,2799,125172,36118,128914,943,0.7114,0.2885,89054,29,0.278,590826.0,0.405538375035,0.489824609399,0.0593358059612,12432,645,0.0847,5527,70058,0.0891,0.5767,238588,0.1013,0.1023,125387,121460,0.0455,12313,10831,10299,3282,0.0386,136889,449,0.1838,238588,106440,0.7775,5287,25162,141166,3828,0.591672674233,-0.101848064835,0
CAUCA,927398,7372,348995,235219,361577,5210,0.326,0.6739,113776,657,0.516,290978.0,2.06717791411,0.389883307922,0.381485069898,42497,2206,0.058,17412,54375,0.4512,0.163,880065,0.1479,0.1274,346300,333387,0.0522,49328,150434,19341,10707,0.0282,432706,2180,0.7221,880065,108013,0.2496,12221,312472,444307,9421,0.504857027606,-0.114973719684,0
CESAR,746859,3298,238041,120595,243022,1683,0.4933,0.5066,117446,107,0.423,389402.0,1.02696128117,0.325392075345,0.0771477900668,18852,624,0.0424,8587,71291,0.4277,0.296,693676,0.1198,0.0782,245624,240834,0.0356,28858,103020,10226,4166,0.0208,331834,618,0.6068,693676,123546,0.3723,6926,201362,337375,4923,0.486358184513,-0.160966109168,0
CHOCO,297026,2104,94352,75257,97649,1193,0.2023,0.7976,19095,150,0.628,263653.0,3.94265941671,0.328755731821,0.271941271299,8683,730,0.0415,4091,16686,0.5253,0.205,281834,0.071,0.1067,85315,81374,0.0502,5784,42747,3383,3211,0.0265,97329,560,0.6354,281834,32889,0.3379,2588,61852,100684,2795,0.357245754593,-0.0284900227717,0
CONSULADOS,599026,158,82756,44801,82996,82,0.4586,0.5413,37955,0,,,1.18033144352,0.138551582068,0.0,5350,119,0.1397,4444,41370,0.2504,0.4124,559952,0.0997,0.0533,101002,100310,0.0443,10010,25121,14015,573,0.0257,110608,97,0.3966,559952,63887,0.5775,2851,43870,111282,577,0.198734891562,-0.0601833094939,0
CORDOBA,1197222,4444,370834,225223,378979,3701,0.3926,0.6073,145611,150,0.466,302914.0,1.54686704024,0.316548643443,0.0674675440718,35407,2220,0.028,14224,114960,0.5015,0.2811,1147160,0.0678,0.0866,417326,408851,0.0347,27751,205061,11448,6255,0.0145,591682,1485,0.6365,1147160,206393,0.3488,8637,376652,599892,6725,0.522936643537,-0.206388000094,0
CUNDINAMARCA,1765786,13023,774802,336874,791553,3728,0.5652,0.4347,437928,26,0.17,590183.0,0.769108280255,0.448272327451,0.00792891222103,186690,1994,0.0694,48757,255598,0.1786,0.3162,1671978,0.1442,0.231,834906,808109,0.0603,116562,144346,56156,24803,0.0436,895930,1988,0.4138,1671978,486063,0.5425,39076,370791,931287,33369,0.556997161446,-0.108724833995,0
GUAINIA,25416,61,5990,3326,6105,54,0.4447,0.5552,2664,1,0.278,590826.0,1.24848212278,0.240203021719,0.0211870811166,635,23,0.0483,173,1911,0.4469,0.3019,21933,0.075,0.1003,6421,6328,0.0273,475,2828,306,70,0.0257,7811,29,0.5471,21933,3336,0.427,201,4274,7922,82,0.361190899558,-0.120987877839,0
GUAVIARE,56447,573,21056,11132,21894,265,0.4713,0.5286,9924,60,0.278,590826.0,1.12157861235,0.387868265807,0.572385622256,1889,62,0.0431,921,6631,0.3744,0.3711,53118,0.0539,0.1057,18286,17864,0.0515,963,6689,771,360,0.0369,21689,97,0.4635,53118,10832,0.4994,802,10055,22266,480,0.419179939004,-0.0313116731969,0
HUILA,794839,4118,305190,119706,311476,2168,0.6077,0.3922,185484,205,0.443,388510.0,0.645384235643,0.39187307115,0.138884258321,44028,1051,0.0643,11495,140904,0.1136,0.4646,747855,0.1742,0.1451,310704,303260,0.0379,52848,34471,19514,6393,0.0323,370770,1180,0.2588,747855,262807,0.7088,11976,95987,380593,8643,0.50891282401,-0.11703975286,0
